hour,accident_count,avg_severity
0,108901,2.219318463558645
1,94180,2.1899023147165004
2,90410,2.2057294547063377
3,81462,2.2292602685914904
4,155674,2.2332245590143507
5,222423,2.2183856885304127
6,396371,2.2082316819343495
7,575266,2.18905515013924
8,565580,2.1899077053644045
9,354933,2.224743824890895
10,334900,2.218763810092565
11,347291,2.212905027772099
12,347239,2.2147166648907524
13,387674,2.206031356242616
14,439112,2.198928747107799
15,514940,2.2003650910785724
16,570689,2.2043634974565833
17,564708,2.209394943935627
18,423029,2.227024624789317
19,288548,2.2362899760178547
20,219532,2.2473443507096915
21,186297,2.2417054488263366
22,162979,2.240129096386651
23,122797,2.2041825126020993
