State,accident_count,avg_severity
CA,1701655,2.1657533401306375
FL,870292,2.139763435720425
TX,573638,2.2222516639413707
SC,375402,2.1112993537594367
NY,345234,2.258951899291495
NC,334204,2.1312402005960434
PA,290596,2.206375862021501
VA,285338,2.277877464620906
MN,189010,2.1624887572086133
OR,176447,2.11278740925037
IL,168031,2.3829352917021263
TN,166816,2.1978227508152695
GA,166529,2.5070228008334885
AZ,164548,2.1161910202494103
MI,161765,2.336976478224585
LA,148418,2.125732727836246
NJ,137116,2.2324819860556024
OH,117354,2.353290045503349
MD,113529,2.321873706277691
WA,107499,2.3444125061628482
AL,99730,2.242825629198837
CO,89475,2.4405476390053087
UT,88631,2.1897191727499408
OK,82869,2.0763735534397663
MO,76204,2.398168075166658
CT,70772,2.3464223139094558
IN,66362,2.3973810313131008
MA,59298,2.2930115686869708
WI,34438,2.473053022823625
KY,32002,2.4532841697393915
NE,28745,2.1803791963819794
MT,27540,2.036637618010167
IA,25686,2.418905240208674
AR,22332,2.2748522299838796
NV,21258,2.232853513971211
KS,18320,2.2878275109170305
DC,17764,2.1349358252645803
RI,16467,2.459342928280804
MS,14968,2.34206306787814
DE,14014,2.253817610960468
WV,13647,2.1579834395837914
ID,10350,2.124154589371981
NM,10164,2.374557260920897
NH,10096,2.2432646592709986
WY,3369,2.3552983081032948
ND,3191,2.013788780946412
ME,2648,2.2046827794561934
VT,894,2.422818791946309
SD,280,2.4357142857142855
