Weather_Condition,accident_count,avg_severity
Fair,2560802,2.1270270016971247
Mostly Cloudy,1016195,2.222066630912374
Cloudy,817082,2.1603400882653148
Clear,808743,2.3679500162598006
Partly Cloudy,698972,2.217851358852715
Overcast,382866,2.3854220536689077
Light Rain,352957,2.247846054901872
Scattered Clouds,204829,2.3803465329616413
Light Snow,128680,2.2452906434566366
Fog,99238,2.1458715411435136
Rain,84331,2.258872775136071
Haze,76223,2.213124647416134
Fair / Windy,35671,2.1436460990720754
Heavy Rain,32309,2.264384536816367
Light Drizzle,22684,2.2688238405924883
Thunder in the Vicinity,17611,2.1570609278291974
Cloudy / Windy,17035,2.1695920164367477
T-Storm,16810,2.2072575847709697
Mostly Cloudy / Windy,16508,2.179246425975285
Snow,15537,2.2450923601724915
Thunder,14202,2.1530770314040275
Light Rain with Thunder,13597,2.1973964845186438
Smoke,12668,2.211083043890117
Wintry Mix,11703,2.1549175425104674
Partly Cloudy / Windy,10241,2.171858216970999
Heavy T-Storm,9671,2.1833316099679454
Light Rain / Windy,7946,2.190410269317896
Light Snow / Windy,6826,2.1292118370934663
Heavy Snow,5003,2.236658005196882
Light Thunderstorms and Rain,4931,2.4366254309470694
Drizzle,4726,2.2972915785019046
Thunderstorm,4438,2.409643983776476
Patches of Fog,4144,2.216698841698842
Mist,3539,2.262220966374682
Light Freezing Rain,3465,2.4
N/A Precipitation,3252,2.138068880688807
Shallow Fog,3068,2.174380704041721
Heavy Thunderstorms and Rain,2485,2.4583501006036217
Rain / Windy,2372,2.1783305227655987
Thunderstorms and Rain,2217,2.4564727108705458
Haze / Windy,1595,2.107836990595611
Heavy Rain / Windy,1523,2.1825344714379513
Showers in the Vicinity,1514,2.206737120211361
Snow / Windy,1285,2.140077821011673
Light Freezing Drizzle,1240,2.358064516129032
Heavy T-Storm / Windy,1096,2.1624087591240877
Light Freezing Fog,1001,2.3926073926073927
Blowing Snow / Windy,925,2.0702702702702704
Heavy Snow / Windy,902,2.1518847006651884
T-Storm / Windy,813,2.1918819188191883
Fog / Windy,743,2.0982503364737553
Blowing Snow,740,2.2864864864864867
Thunder / Windy,562,2.201067615658363
Heavy Drizzle,452,2.3473451327433628
Drizzle and Fog,393,2.1857506361323153
Snow and Sleet,350,2.2057142857142855
Wintry Mix / Windy,331,2.205438066465257
Blowing Dust / Windy,266,2.101503759398496
Light Ice Pellets,262,2.519083969465649
Light Rain Shower,259,2.2857142857142856
Light Sleet,256,2.109375
Light Drizzle / Windy,239,2.292887029288703
Light Snow and Sleet,204,2.200980392156863
Freezing Rain,197,2.228426395939086
Blowing Dust,189,2.0846560846560847
Widespread Dust,181,2.1933701657458564
Light Rain Showers,157,2.3694267515923566
Sleet,147,2.122448979591837
Rain Showers,123,2.4065040650406506
Ice Pellets,101,2.376237623762376
Snow and Sleet / Windy,96,2.0833333333333335
Smoke / Windy,95,2.6315789473684212
Light Freezing Rain / Windy,81,2.259259259259259
Small Hail,75,2.2533333333333334
Rain Shower,59,2.2203389830508473
Sand / Dust Whirlwinds,51,2.156862745098039
Squalls / Windy,47,2.297872340425532
Light Snow and Sleet / Windy,45,2.2222222222222223
Light Snow Shower,44,2.1818181818181817
Partial Fog,40,2.075
Hail,39,2.230769230769231
Light Snow with Thunder,38,2.1052631578947367
Squalls,35,2.2285714285714286
Heavy Sleet,33,2.212121212121212
Freezing Drizzle,30,2.1666666666666665
Thunder / Wintry Mix,29,2.1724137931034484
Sleet / Windy,25,2.08
Widespread Dust / Windy,24,2.0833333333333335
Light Snow Showers,24,2.6666666666666665
Drizzle / Windy,23,2.1739130434782608
Volcanic Ash,22,2.090909090909091
Funnel Cloud,22,2.227272727272727
Light Thunderstorms and Snow,22,2.772727272727273
Snow and Thunder,21,2.0476190476190474
